Neighborhood,Metric,Value,price,review_scores_rating,reviews_per_month
Edgewater,length_of_listing_name,0.464696482,0,0.579506435332799,0.776902469427761
Edgewater,length_of_summary,1,0,0.579506435332799,0.776902469427761
Edgewater,length_of_description,0,0,0.579506435332799,0.776902469427761
Edgewater,name_tf_idf_sum,0.404621494,0,0.579506435332799,0.776902469427761
Edgewater,summary_tf_idf_sum,1,0,0.579506435332799,0.776902469427761
Edgewater,description_tf_idf_sum,0,0,0.579506435332799,0.776902469427761
Edgewater,name_ARI,0.338413585,0,0.579506435332799,0.776902469427761
Edgewater,summary_ARI,0.133090248,0,0.579506435332799,0.776902469427761
Edgewater,description_ARI,0.252435197,0,0.579506435332799,0.776902469427761
Edgewater,name_polarity,0,0,0.579506435332799,0.776902469427761
Edgewater,summary_polarity,0.581535802,0,0.579506435332799,0.776902469427761
Edgewater,description_polarity,1,0,0.579506435332799,0.776902469427761
Edgewater,name_subjectivity,0,0,0.579506435332799,0.776902469427761
Edgewater,summary_subjectivity,0.921720798,0,0.579506435332799,0.776902469427761
Edgewater,description_subjectivity,1,0,0.579506435332799,0.776902469427761
Lake View,length_of_listing_name,0.743784904,0.431941518225339,1,0.524486984201339
Lake View,length_of_summary,0.244094943,0.431941518225339,1,0.524486984201339
Lake View,length_of_description,0.276724659,0.431941518225339,1,0.524486984201339
Lake View,name_tf_idf_sum,0.912294927,0.431941518225339,1,0.524486984201339
Lake View,summary_tf_idf_sum,0.479228718,0.431941518225339,1,0.524486984201339
Lake View,description_tf_idf_sum,0.304389122,0.431941518225339,1,0.524486984201339
Lake View,name_ARI,0.763349101,0.431941518225339,1,0.524486984201339
Lake View,summary_ARI,0,0.431941518225339,1,0.524486984201339
Lake View,description_ARI,0.233914499,0.431941518225339,1,0.524486984201339
Lake View,name_polarity,0.559163164,0.431941518225339,1,0.524486984201339
Lake View,summary_polarity,0.264284498,0.431941518225339,1,0.524486984201339
Lake View,description_polarity,0.197909827,0.431941518225339,1,0.524486984201339
Lake View,name_subjectivity,0.815586659,0.431941518225339,1,0.524486984201339
Lake View,summary_subjectivity,0.276377529,0.431941518225339,1,0.524486984201339
Lake View,description_subjectivity,0,0.431941518225339,1,0.524486984201339
Lincoln Park,length_of_listing_name,0.828350853,0.650074676925015,0,0.460824226765494
Lincoln Park,length_of_summary,0.451186248,0.650074676925015,0,0.460824226765494
Lincoln Park,length_of_description,0.142172171,0.650074676925015,0,0.460824226765494
Lincoln Park,name_tf_idf_sum,0.714613949,0.650074676925015,0,0.460824226765494
Lincoln Park,summary_tf_idf_sum,0.38640646,0.650074676925015,0,0.460824226765494
Lincoln Park,description_tf_idf_sum,0.14299,0.650074676925015,0,0.460824226765494
Lincoln Park,name_ARI,0.76317166,0.650074676925015,0,0.460824226765494
Lincoln Park,summary_ARI,0.381805591,0.650074676925015,0,0.460824226765494
Lincoln Park,description_ARI,0.187864439,0.650074676925015,0,0.460824226765494
Lincoln Park,name_polarity,0.70854273,0.650074676925015,0,0.460824226765494
Lincoln Park,summary_polarity,0.326400805,0.650074676925015,0,0.460824226765494
Lincoln Park,description_polarity,0.521535543,0.650074676925015,0,0.460824226765494
Lincoln Park,name_subjectivity,0.894674636,0.650074676925015,0,0.460824226765494
Lincoln Park,summary_subjectivity,0.212344891,0.650074676925015,0,0.460824226765494
Lincoln Park,description_subjectivity,0.664502915,0.650074676925015,0,0.460824226765494
Logan Square,length_of_listing_name,0.915155354,0.129334755927431,0.988474694121448,1
Logan Square,length_of_summary,0.359571711,0.129334755927431,0.988474694121448,1
Logan Square,length_of_description,1,0.129334755927431,0.988474694121448,1
Logan Square,name_tf_idf_sum,1,0.129334755927431,0.988474694121448,1
Logan Square,summary_tf_idf_sum,0.337279203,0.129334755927431,0.988474694121448,1
Logan Square,description_tf_idf_sum,1,0.129334755927431,0.988474694121448,1
Logan Square,name_ARI,0.409773832,0.129334755927431,0.988474694121448,1
Logan Square,summary_ARI,1,0.129334755927431,0.988474694121448,1
Logan Square,description_ARI,0.455950654,0.129334755927431,0.988474694121448,1
Logan Square,name_polarity,0.467151124,0.129334755927431,0.988474694121448,1
Logan Square,summary_polarity,0.120289441,0.129334755927431,0.988474694121448,1
Logan Square,description_polarity,0,0.129334755927431,0.988474694121448,1
Logan Square,name_subjectivity,0.595981117,0.129334755927431,0.988474694121448,1
Logan Square,summary_subjectivity,0.694102694,0.129334755927431,0.988474694121448,1
Logan Square,description_subjectivity,0.312611882,0.129334755927431,0.988474694121448,1
Loop,length_of_listing_name,0.603977644,1,0.242749720139084,0
Loop,length_of_summary,0.065653878,1,0.242749720139084,0
Loop,length_of_description,0.168491584,1,0.242749720139084,0
Loop,name_tf_idf_sum,0.389048968,1,0.242749720139084,0
Loop,summary_tf_idf_sum,0.049880925,1,0.242749720139084,0
Loop,description_tf_idf_sum,0.152092744,1,0.242749720139084,0
Loop,name_ARI,0.824046079,1,0.242749720139084,0
Loop,summary_ARI,0.526251389,1,0.242749720139084,0
Loop,description_ARI,0,1,0.242749720139084,0
Loop,name_polarity,1,1,0.242749720139084,0
Loop,summary_polarity,1,1,0.242749720139084,0
Loop,description_polarity,0.568984834,1,0.242749720139084,0
Loop,name_subjectivity,0.940854845,1,0.242749720139084,0
Loop,summary_subjectivity,1,1,0.242749720139084,0
Loop,description_subjectivity,0.500557308,1,0.242749720139084,0
Near North Side,length_of_listing_name,1,0.805860883610122,0.222203385016702,0.45409177605771
Near North Side,length_of_summary,0.287255622,0.805860883610122,0.222203385016702,0.45409177605771
