id,length_of_listing_name,length_of_summary,length_of_description,name_tf_idf_sum,summary_tf_idf_sum,description_tf_idf_sum,summary_ARI,description_ARI,name_polarity,summary_polarity,description_polarity,name_subjectivity,summary_subjectivity,description_subjectivity,neighbourhood_cleansed,price,review_scores_rating,reviews_per_month
9811,29,245,1000,0.578616447947525,0.479656751046329,0.766287472591261,0.140679008987943,0.493650395038723,0.1,0.33,0.3955,0.2,0.54,0.56325,Lincoln Park,$175.00,93,0.39
9812,24,148,1000,0.615354157543608,0.354725672124633,0.726178170093263,0.15571027687688,0.20864119889219,0,0.85,0.557692307692308,0,1,0.776923076923077,Near North Side,$174.00,86,0.34
9813,21,206,1000,0.619818732392202,0.430055478500508,0.737114587097934,0.122931923448791,0.20864119889219,0,0.685714285714286,0.585164835164835,0,0.857142857142857,0.782417582417582,Near North Side,$174.00,80,0.08
9814,21,206,1000,0.619818732392202,0.444931310631673,0.741917425820551,0.122931923448791,0.20864119889219,0,0.514285714285714,0.543367346938776,0,0.65952380952381,0.731292517006803,Near North Side,$174.00,100,0.09
9816,21,206,1000,0.619818732392202,0.444931310631673,0.741917425820551,0.122931923448791,0.20864119889219,0,0.514285714285714,0.543367346938776,0,0.65952380952381,0.731292517006803,Near North Side,$174.00,73,0.05
9817,21,206,1000,0.619818732392202,0.444931310631673,0.741917425820551,0.122931923448791,0.20864119889219,0,0.514285714285714,0.543367346938776,0,0.65952380952381,0.731292517006803,Near North Side,$174.00,100,0.15
10945,26,247,1000,0.429952178611412,0.467233925382287,0.860883830655688,0.153083025387543,0.137148439585119,0,0.41875,0.241174242424242,0,0.479166666666667,0.396893939393939,Lincoln Park,$261.00,100,0.06
12068,34,243,1000,0.753746024407389,0.464172786403019,0.834196638932375,0.123311986618953,0.114512849243297,0,0.625,0.270833333333333,0,0.7,0.459722222222222,Near North Side,$75.00,90,0.55
14706,35,102,1000,0.596187356186857,0.215232791090807,0.894560421834932,0.147332851546228,0.131657702028828,0,0,0.336751893939394,0,0,0.491846590909091,Loop,$229.00,86,0.15
18300,34,229,1000,0.599886336560727,0.432281552027259,0.746210683079146,0.0847608361641514,0.0941910647037461,0.5,0.35,0.3,1,0.65,0.531666666666667,West Town,$180.00,100,0.06
22651,35,222,1000,0.452787453197056,0.394034932946774,0.813856127876576,0.0761983599086502,0.272976853053854,0.85,0.641071428571429,0.402765469824293,1,0.807142857142857,0.595744843391902,Lake View,$395.00,91,1.31
23208,31,250,1000,0.582512055176812,0.457266467238672,0.722016903115,0.113793436094175,0.167625412716177,0.166666666666667,0.301041666666667,0.321780303030303,0.5,0.63125,0.564015151515152,Near North Side,$126.00,89,0.26
25675,25,474,1000,0.454668144126821,0.605911892026992,0.745688994835367,0.114245911848703,0.121112478573652,0,0.234920634920635,0.236274509803922,0,0.486507936507937,0.463585434173669,Logan Square,$125.00,99,3.05
25879,34,81,1000,0.854660920073338,0.23361448190981,0.751869641050782,0.0635186612440892,0.149285523701241,0.5,0.357142857142857,0.306051587301587,0.5,0.571428571428571,0.50218253968254,Lincoln Park,$169.00,79,0.36
27216,29,228,1000,0.585789735034106,0.430091556288317,0.826853789218704,0.0935279225768591,0.115035425802244,0.6,0.385416666666667,0.305122655122655,0.9,0.68125,0.615064935064935,Near West Side,$340.00,100,0.2
37738,33,77,1000,0.448199948543914,0.177564110189216,0.828993488128347,0.114952613671498,0.0993757327884602,1,-0.125,0.327310924369748,1,0.625,0.620798319327731,Uptown,$74.00,100,2.4
39742,35,247,1000,0.61179488915355,0.421294068071646,0.792334303637475,0.138485989162208,0.147006002135388,0,0.385416666666667,0.332941176470588,0.25,0.644444444444445,0.564117647058824,Near North Side,$90.00,93,4.92
44020,32,176,1000,0.403444624084157,0.339199953889638,0.778125987526963,0.0491684698361476,0.119608463586461,0,0,0.312770562770563,0,1,0.518614718614719,Lincoln Park,$199.00,78,0.58
50808,29,242,1000,0.560952198919479,0.378519692192857,0.793639732717149,0.0552369051387583,0.106378618835209,0.55,0.36952380952381,0.365546218487395,0.825,0.625714285714286,0.666386554621849,West Town,$100.00,99,0.32
71930,23,247,1000,0.454371808211865,0.463290193539758,0.86610840438776,0.105016777422584,0.117172427321617,0,0.267142857142857,0.313988095238095,0,0.558571428571429,0.463938492063492,West Town,$85.00,95,0.43
79101,35,238,1000,0,0.423585021348029,0.806120389623544,0.0801149880757671,0.100957207074561,0,0.245535714285714,0.185631828488971,0,0.512946428571429,0.471758400329829,Uptown,$180.00,96,2.14
80640,35,250,1000,0.741462294529468,0.415309039610991,0.896043135895463,0.1235271914702,0.143583648753763,0.35,0.439285714285714,0.481818181818182,0.55,0.645238095238095,0.678282828282828,Logan Square,$125.00,97,0.79
81556,34,250,1000,0.876228354833139,0.460605973712,0.757407752015474,0.119554787270742,0.192982530365611,0.35,0.301041666666667,0.26030701754386,0.55,0.63125,0.532017543859649,Near North Side,$139.00,96,0.19
81558,33,236,1000,0.576488281592433,0.437598847009224,0.776874366470363,0.114818692699013,0.192982530365611,0.511111111111111,0.301041666666667,0.26030701754386,0.966666666666667,0.63125,0.532017543859649,Near North Side,$119.00,88,0.29
81559,35,250,1000,0.587856740761395,0.460605973712,0.773906810358318,0.119554787270742,0.170197221718165,0.3,0.301041666666667,0.321230158730159,0.6375,0.63125,0.561111111111111,Near North Side,$125.00,92,0.42
81852,31,239,1000,0.597048788802597,0.444822959510899,0.873463706975489,0.101105339555907,0.160469724330682,0,0.1,0.111360544217687,0,0.46875,0.468854875283447,Lincoln Park,$90.00,100,1.3
