Neighborhood,Metric,Value,price,review_scores_rating,reviews_per_month
Edgewater,length_of_summary,1,0,0.579506435332799,0.776902469427761
Edgewater,summary_tf_idf_sum,1,0,0.579506435332799,0.776902469427761
Edgewater,summary_ARI,0.133090248,0,0.579506435332799,0.776902469427761
Edgewater,summary_polarity,0.581535802,0,0.579506435332799,0.776902469427761
Edgewater,summary_subjectivity,0.921720798,0,0.579506435332799,0.776902469427761
Lake View,length_of_summary,0.244094943,0.431941518225339,1,0.524486984201339
Lake View,summary_tf_idf_sum,0.479228718,0.431941518225339,1,0.524486984201339
Lake View,summary_ARI,0,0.431941518225339,1,0.524486984201339
Lake View,summary_polarity,0.264284498,0.431941518225339,1,0.524486984201339
Lake View,summary_subjectivity,0.276377529,0.431941518225339,1,0.524486984201339
Lincoln Park,length_of_summary,0.451186248,0.650074676925015,0,0.460824226765494
Lincoln Park,summary_tf_idf_sum,0.38640646,0.650074676925015,0,0.460824226765494
Lincoln Park,summary_ARI,0.381805591,0.650074676925015,0,0.460824226765494
Lincoln Park,summary_polarity,0.326400805,0.650074676925015,0,0.460824226765494
Lincoln Park,summary_subjectivity,0.212344891,0.650074676925015,0,0.460824226765494
Logan Square,length_of_summary,0.359571711,0.129334755927431,0.988474694121448,1
Logan Square,summary_tf_idf_sum,0.337279203,0.129334755927431,0.988474694121448,1
Logan Square,summary_ARI,1,0.129334755927431,0.988474694121448,1
Logan Square,summary_polarity,0.120289441,0.129334755927431,0.988474694121448,1
Logan Square,summary_subjectivity,0.694102694,0.129334755927431,0.988474694121448,1
Loop,length_of_summary,0.065653878,1,0.242749720139084,0
Loop,summary_tf_idf_sum,0.049880925,1,0.242749720139084,0
Loop,summary_ARI,0.526251389,1,0.242749720139084,0
Loop,summary_polarity,1,1,0.242749720139084,0
Loop,summary_subjectivity,1,1,0.242749720139084,0
Near North Side,length_of_summary,0.287255622,0.805860883610122,0.222203385016702,0.45409177605771
Near North Side,summary_tf_idf_sum,0.450114019,0.805860883610122,0.222203385016702,0.45409177605771
Near North Side,summary_ARI,0.791912513,0.805860883610122,0.222203385016702,0.45409177605771
Near North Side,summary_polarity,0.55377924,0.805860883610122,0.222203385016702,0.45409177605771
Near North Side,summary_subjectivity,0.087692869,0.805860883610122,0.222203385016702,0.45409177605771
Near West Side,length_of_summary,0,0.479434574337057,0.358090557119101,0.62197114141819
Near West Side,summary_tf_idf_sum,0,0.479434574337057,0.358090557119101,0.62197114141819
Near West Side,summary_ARI,0.710928747,0.479434574337057,0.358090557119101,0.62197114141819
Near West Side,summary_polarity,0.405998317,0.479434574337057,0.358090557119101,0.62197114141819
Near West Side,summary_subjectivity,0.416212867,0.479434574337057,0.358090557119101,0.62197114141819
Uptown,length_of_summary,0.359746393,0.308042914594833,0.684391092229316,0.392777790652336
Uptown,summary_tf_idf_sum,0.417578344,0.308042914594833,0.684391092229316,0.392777790652336
Uptown,summary_ARI,0.354748652,0.308042914594833,0.684391092229316,0.392777790652336
Uptown,summary_polarity,0,0.308042914594833,0.684391092229316,0.392777790652336
Uptown,summary_subjectivity,0,0.308042914594833,0.684391092229316,0.392777790652336
West Town,length_of_summary,0.275215456,0.46121875673635,0.893177748364377,0.769656066013436
West Town,summary_tf_idf_sum,0.387979861,0.46121875673635,0.893177748364377,0.769656066013436
West Town,summary_ARI,0.830915008,0.46121875673635,0.893177748364377,0.769656066013436
West Town,summary_polarity,0.477707447,0.46121875673635,0.893177748364377,0.769656066013436
West Town,summary_subjectivity,0.643121351,0.46121875673635,0.893177748364377,0.769656066013436
