Neighborhood,length_of_listing_name,length_of_summary,length_of_description,name_tf_idf_sum,summary_tf_idf_sum,description_tf_idf_sum,name_ARI,summary_ARI,description_ARI,name_polarity,summary_polarity,description_polarity,name_subjectivity,summary_subjectivity,description_subjectivity,price,review_scores_rating,reviews_per_month
Edgewater,0.464696481601535,1,0,0.404621493574233,1,0,0.338413584703285,0.133090248375485,0.252435197308389,0,0.58153580181133,1,0,0.921720797932181,1,0,0.579506435332799,0.776902469427761
Lake View,0.743784904472782,0.244094942893258,0.276724658920476,0.912294927460445,0.479228718168552,0.304389122225788,0.763349101122317,0,0.233914498884034,0.559163163800457,0.264284498054064,0.197909826575353,0.815586659072739,0.27637752914524,0,0.431941518225339,1,0.524486984201339
Lincoln Park,0.828350853392337,0.451186248142801,0.142172171163513,0.714613949474216,0.386406459914367,0.142990000145305,0.76317165954657,0.3818055909203,0.187864439071308,0.708542729738942,0.326400804975413,0.521535543390822,0.894674636318093,0.212344891391586,0.664502914882861,0.650074676925015,0,0.460824226765494
Logan Square,0.915155353922593,0.359571710821423,1,1,0.337279202523238,1,0.409773832440672,1,0.455950654350756,0.467151124124327,0.120289441295154,0,0.595981117100649,0.694102693976672,0.312611881726798,0.129334755927431,0.988474694121448,1
Loop,0.603977643558713,0.0656538780850773,0.168491584021601,0.389048968353374,0.0498809252556376,0.152092743826536,0.824046078896942,0.526251388533429,0,1,1,0.568984833545305,0.940854844986411,1,0.500557308321976,1,0.242749720139084,0
Near North Side,1,0.287255621627471,0.417802530923366,0.792595120100463,0.450114019183097,0.438139385695918,1,0.791912512958733,0.608490699676746,0.587388982979142,0.553779239928774,0.506648788865547,0.65591902668738,0.0876928685013834,0.0800981480950956,0.805860883610122,0.222203385016702,0.45409177605771
Near West Side,0,0,0.297229190343842,0,0,0.258407187174822,0.766543578770726,0.710928746605281,0.33044700172274,0.730315346460241,0.40599831727905,0.392681767390168,0.953008057218273,0.41621286739828,0.551824683053103,0.479434574337057,0.358090557119101,0.62197114141819
Uptown,0.765144314224195,0.359746393423674,0.43728434604364,0.575593127837755,0.417578343947644,0.438327002015332,0,0.35474865234002,0.313338579203324,0.323569256135569,0,0.430973066970175,1,0,0.514488211226749,0.308042914594833,0.684391092229316,0.392777790652336
West Town,0.84084826710895,0.27521545603824,0.747755682095258,0.555172410026791,0.387979861178867,0.716638866137215,0.606564723262454,0.830915008393769,1,0.892514886888448,0.477707447407831,0.281760994176788,0.888944811427172,0.643121350996057,0.301886330471169,0.46121875673635,0.893177748364377,0.769656066013436
